term	z	offensive_docs	not_offensive_docs	offensive_rate
vechu	4.978101820720607	26	10	0.7222222222222222
mathiri	4.973422132371517	114	152	0.42857142857142855
thevidiya	4.957517202415101	40	1	0.975609756097561
comedy	4.951544097590454	57	55	0.5089285714285714
avan	4.90938405372763	66	70	0.4852941176470588
batman	4.897185145850523	23	6	0.7931034482758621
ipdi	4.87955041640503	83	99	0.45604395604395603
ungaluku	4.8477299525454205	45	38	0.5421686746987951
adichu	4.832658726887505	33	21	0.6111111111111112
epdi	4.802287431733496	65	70	0.48148148148148145
vela	4.687870710725975	39	31	0.5571428571428572
pona	4.68389691135169	29	17	0.6304347826086957
over	4.679687840430595	43	37	0.5375
entha	4.665100414579007	75	89	0.4573170731707317
padatha	4.631349609652988	85	107	0.4427083333333333
viswasam	4.617455838888413	121	173	0.41156462585034015
varala	4.594367651311442	43	38	0.5308641975308642
செருப்படி	4.594367651311442	43	38	0.5308641975308642
maathiri	4.550615214313488	42	37	0.5316455696202531
aamai	4.549763757262623	20	3	0.8695652173913043
neenga	4.547236941319734	118	169	0.41114982578397213
pottu	4.543350774709224	59	64	0.4796747967479675
kuruma	4.517925019220089	20	6	0.7692307692307693
ethuku	4.512692181208781	30	20	0.6
rajini	4.498268417521071	244	421	0.3669172932330827
aalu	4.495605219531645	24	12	0.6666666666666666
director	4.481795076446581	84	108	0.4375
mairu	4.4675847432895655	21	2	0.9130434782608695
ketta	4.462669631473548	38	32	0.5428571428571428
ella	4.45964583190014	91	121	0.42924528301886794
idhula	4.456951827735972	23	11	0.6764705882352942
un	4.453781990377457	57	62	0.4789915966386555
ila	4.449949257244454	70	84	0.45454545454545453
கோமாளி	4.448677851838286	19	5	0.7916666666666666
நாய்	4.448677851838286	19	5	0.7916666666666666
moonji	4.447457495914511	19	3	0.8636363636363636
varuthu	4.44239244050767	52	54	0.49056603773584906
yen	4.432189530297867	94	127	0.4253393665158371
arasiyalukku	4.422616434116586	25	14	0.6410256410256411
thalaivara	4.391138317779377	27	17	0.6136363636363636
indha	4.362313706908813	181	297	0.3786610878661088
kindal	4.339960337475672	18	3	0.8571428571428571
enga	4.324493725296496	134	205	0.3952802359882006
ethu	4.321888256338053	51	54	0.4857142857142857
sentiment	4.3143748265051345	18	5	0.782608695652174
gommala	4.3143748265051345	18	5	0.782608695652174
psycho	4.287265171780297	19	7	0.7307692307692307
serupadi	4.263765452981384	21	10	0.6774193548387096
திருமா	4.263765452981384	21	10	0.6774193548387096
krish	4.263765452981384	21	10	0.6774193548387096
mokkaya	4.2611513448276686	25	1	0.9615384615384616
poola	4.235074862901671	18	6	0.75
mugamoodi	4.229137608046755	17	4	0.8095238095238095
irukken	4.226691569353264	17	3	0.85
nadika	4.2223670876850425	20	9	0.6896551724137931
lam	4.214438764744129	74	95	0.4378698224852071
ippo	4.213531491170542	62	74	0.45588235294117646
veri	4.202077318141562	75	97	0.436046511627907
pudicha	4.19570032522595	25	16	0.6097560975609756
அரசியலுக்கு	4.191021892802374	38	35	0.5205479452054794
அந்த	4.190193870332793	76	99	0.4342857142857143
seruppadi	4.173029923573108	17	5	0.7727272727272727
adicha	4.173029923573108	17	5	0.7727272727272727
pathi	4.149153912653173	52	58	0.4727272727272727
irukku	4.148462894829417	208	359	0.36684303350970016
aana	4.145367755990384	75	98	0.43352601156069365
yara	4.142659400618047	37	34	0.5211267605633803
pathu	4.119538621032486	60	72	0.45454545454545453
blue	4.103819739889794	20	10	0.6666666666666666
eduka	4.103819739889794	20	10	0.6666666666666666
pota	4.103819739889794	20	10	0.6666666666666666
pans	4.093367435871851	16	4	0.8
vfx	4.089827763791293	32	27	0.5423728813559322
nalla	4.0790565529814735	228	403	0.3613312202852615
vanthu	4.071814907268945	59	71	0.45384615384615384
en	4.070988668429962	107	159	0.40225563909774437
ungalukku	4.047578657698117	29	23	0.5576923076923077
nai	3.9799934864828854	15	3	0.8333333333333334
ya	3.9766120179570343	181	309	0.3693877551020408
ratham	3.9720167194981943	17	7	0.7083333333333334
irundha	3.962049564726941	37	36	0.5068493150684932
paaru	3.9507521636117517	27	21	0.5625
nenacha	3.9494804440811397	15	4	0.7894736842105263
kai	3.9455955525313438	22	14	0.6111111111111112
mersal	3.9440077235971214	55	66	0.45454545454545453
kum	3.9423981285180765	29	24	0.5471698113207547
varathu	3.9423981285180765	29	24	0.5471698113207547
kathi	3.9371279295529376	19	10	0.6551724137931034
dmk	3.9371279295529376	19	10	0.6551724137931034
sad	3.9224726233319345	16	6	0.7272727272727273
mavan	3.907595540883624	15	2	0.8823529411764706
டா	3.9043911644323304	71	95	0.42771084337349397
mayiru	3.8939529669470803	19	1	0.95
engada	3.8939529669470803	19	1	0.95
madhiri	3.8897795521139775	39	40	0.4936708860759494
hero	3.886360690214751	110	169	0.3942652329749104
jathi	3.8753263567712843	59	74	0.44360902255639095
bayama	3.866023125876168	15	5	0.75
நாய்கள்	3.866023125876168	15	5	0.75
pesama	3.866023125876168	15	5	0.75
anils	3.866023125876168	15	5	0.75
producer	3.848417899507047	17	8	0.68
chinna	3.847324526908964	33	31	0.515625
adichi	3.847324526908964	33	31	0.515625
panra	3.847324526908964	33	31	0.515625
mental	3.8448012954446975	14	3	0.8235294117647058
apdiye	3.8401988826028965	31	28	0.5254237288135594
ok	3.812001280384876	51	61	0.45535714285714285
kandu	3.8021303794077324	16	7	0.6956521739130435
fuck	3.796452192453907	14	4	0.7777777777777778
வச்சி	3.7631326747922818	18	10	0.6428571428571429
daww	3.7529950813934065	15	6	0.7142857142857143
daw	3.75205819291496	23	17	0.575
game	3.75205819291496	23	17	0.575
echa	3.7510061191515383	17	1	0.9444444444444444
mutta	3.7510061191515383	17	1	0.9444444444444444
னு	3.7499250469628964	47	55	0.46078431372549017
உங்க	3.7440134841389257	44	50	0.46808510638297873
kaasu	3.701381630438235	22	16	0.5789473684210527
ஜெயலலிதா	3.7002392522274965	13	3	0.8125
karumam	3.7002392522274965	13	3	0.8125
எதுக்கு	3.6984201525377043	14	5	0.7368421052631579
solitu	3.6984201525377043	14	5	0.7368421052631579
ippadi	3.6904148998368025	43	49	0.4673913043478261
gandula	3.674270533142107	16	1	0.9411764705882353
ommala	3.674270533142107	16	1	0.9411764705882353
graphics	3.6735162255078273	13	2	0.8666666666666667
koduma	3.6735162255078273	13	2	0.8666666666666667
anda	3.6735162255078273	13	2	0.8666666666666667
thaanda	3.670489637693634	16	8	0.6666666666666666
illana	3.670489637693634	16	8	0.6666666666666666
ye	3.666105438437029	44	51	0.4631578947368421
tune	3.6330597139995824	13	4	0.7647058823529411
engayo	3.6330597139995824	13	4	0.7647058823529411
paiyan	3.629954142421168	18	11	0.6206896551724138
adha	3.6252401791066307	27	24	0.5294117647058824
asinga	3.6242416068606906	64	87	0.423841059602649
than	3.6170983812387565	250	467	0.3486750348675035
ore	3.609101934038025	37	40	0.4805194805194805
engala	3.5733900833119328	14	6	0.7
solli	3.5512033515517105	39	44	0.46987951807228917
dis	3.547243991881615	19	13	0.59375
appo	3.546923882971658	46	56	0.45098039215686275
mask	3.544900544951371	12	3	0.8
athu	3.5440432811916294	60	81	0.425531914893617
mokkai	3.5434836413929593	12	2	0.8571428571428571
compare	3.5323054824631686	16	9	0.64
ivlo	3.5308411382914335	51	65	0.4396551724137931
elam	3.529384504138014	29	28	0.5087719298245614
madiri	3.525558944135421	21	16	0.5675675675675675
nnu	3.5198274194025685	13	5	0.7222222222222222
periya	3.5155998122764696	52	67	0.4369747899159664
sc	3.5148798473721916	23	19	0.5476190476190477
arasiyal	3.509802085698369	48	60	0.4444444444444444
oodi	3.5078226169737694	14	1	0.9333333333333333
எல்லாம்	3.495963575533963	65	91	0.4166666666666667
kannu	3.495266580769321	18	12	0.6
edhuku	3.483129524140989	15	8	0.6521739130434783
peru	3.476814381991098	50	64	0.43859649122807015
phone	3.4709645333948993	20	15	0.5714285714285714
worst	3.4578282658355106	12	4	0.75
dey	3.4578282658355106	12	4	0.75
chi	3.4578282658355106	12	4	0.75
sonnaru	3.4578282658355106	12	4	0.75
pana	3.4369994371988786	37	42	0.46835443037974683
olunga	3.4333920349029627	14	7	0.6666666666666666
sattai	3.4333920349029627	14	7	0.6666666666666666
avanuku	3.4333920349029627	14	7	0.6666666666666666
naai	3.4168000762475366	13	1	0.9285714285714286
mavana	3.4168000762475366	13	1	0.9285714285714286
sollitu	3.415840075565481	19	14	0.5757575757575758
பசங்களா	3.402828840240274	11	2	0.8461538461538461
கிண்டல்	3.402828840240274	11	2	0.8461538461538461
solringa	3.402828840240274	11	2	0.8461538461538461
kabali	3.3976179694342763	23	20	0.5348837209302325
paya	3.382431652752807	13	6	0.6842105263157895
saga	3.377049390682758	11	3	0.7857142857142857
mudinja	3.377049390682758	11	3	0.7857142857142857
shit	3.377049390682758	11	3	0.7857142857142857
எவனும்	3.377049390682758	11	3	0.7857142857142857
but	3.372171733265061	222	416	0.34796238244514105
sila	3.3687604099465625	28	28	0.5
alavuku	3.360209345732294	18	13	0.5806451612903226
ponna	3.3528693450783305	26	25	0.5098039215686274
அம்மா	3.3436278821984082	20	16	0.5555555555555556
திருமாவளவன்	3.3380874572786623	15	9	0.625
kathai	3.328763420623337	12	5	0.7058823529411765
ivana	3.328763420623337	12	5	0.7058823529411765
sonnathu	3.328763420623337	12	5	0.7058823529411765
illaye	3.328763420623337	12	5	0.7058823529411765
not	3.323953485728093	57	79	0.41911764705882354
mokkaiya	3.319440605715053	12	1	0.9230769230769231
padu	3.319440605715053	12	1	0.9230769230769231
edutha	3.3080337844651297	27	27	0.5
athan	3.30410579917788	17	12	0.5862068965517241
inga	3.303863031901642	82	127	0.3923444976076555
hey	3.291944627017215	25	24	0.5102040816326531
daii	3.268959417448349	11	4	0.7333333333333333
thatha	3.268959417448349	11	4	0.7333333333333333
maten	3.268959417448349	11	4	0.7333333333333333
varudhu	3.2670449382871043	28	29	0.49122807017543857
logic	3.2495872748336216	10	2	0.8333333333333334
லூசு	3.2495872748336216	10	2	0.8333333333333334
kevala	3.2495872748336216	10	2	0.8333333333333334
admk	3.2495872748336216	10	2	0.8333333333333334
publicity	3.2495872748336216	10	2	0.8333333333333334
news	3.2495872748336216	10	2	0.8333333333333334
disliked	3.2495872748336216	10	2	0.8333333333333334
aduthavan	3.2495872748336216	10	2	0.8333333333333334
build	3.2495872748336216	10	2	0.8333333333333334
mathri	3.22559177745515	18	14	0.5625
vechi	3.22559177745515	18	14	0.5625
